Station,Datetime,Rental count outlier correction,Return count outlier correction
E 16 St & 5 Ave,03-08-2023 21:20,1,1
E 16 St & 5 Ave,03-08-2023 21:30,0,0
E 16 St & 5 Ave,03-08-2023 21:40,1,1
E 16 St & 5 Ave,03-08-2023 21:50,0,0
E 16 St & 5 Ave,03-08-2023 22:00,0,0
E 16 St & 5 Ave,03-08-2023 22:10,2,0
E 16 St & 5 Ave,03-08-2023 22:20,0,1
E 16 St & 5 Ave,03-08-2023 22:30,1,1
E 16 St & 5 Ave,03-08-2023 22:40,1,0
E 16 St & 5 Ave,03-08-2023 22:50,0,0
E 16 St & 5 Ave,03-08-2023 23:00,0,0
E 16 St & 5 Ave,03-08-2023 23:10,0,0
E 16 St & 5 Ave,03-08-2023 23:20,0,0
E 16 St & 5 Ave,03-08-2023 23:30,0,1
E 16 St & 5 Ave,03-08-2023 23:40,2,0
E 16 St & 5 Ave,03-08-2023 23:50,2,0
E 16 St & 5 Ave,04-08-2023 00:00,0,0
E 16 St & 5 Ave,04-08-2023 00:10,0,1
E 16 St & 5 Ave,04-08-2023 00:20,0,0
E 16 St & 5 Ave,04-08-2023 00:30,1,0
E 16 St & 5 Ave,04-08-2023 00:40,0,0
E 16 St & 5 Ave,04-08-2023 00:50,0,1
E 16 St & 5 Ave,04-08-2023 01:00,0,0
E 16 St & 5 Ave,04-08-2023 01:10,0,0
E 16 St & 5 Ave,04-08-2023 01:20,0,0
E 16 St & 5 Ave,04-08-2023 01:30,0,0
E 16 St & 5 Ave,04-08-2023 01:40,0,0
E 16 St & 5 Ave,04-08-2023 01:50,0,0
E 16 St & 5 Ave,04-08-2023 02:00,1,0
E 16 St & 5 Ave,04-08-2023 02:10,0,0
E 16 St & 5 Ave,04-08-2023 02:20,0,0
E 16 St & 5 Ave,04-08-2023 02:30,0,0
E 16 St & 5 Ave,04-08-2023 02:40,0,0
E 16 St & 5 Ave,04-08-2023 02:50,0,0
E 16 St & 5 Ave,04-08-2023 03:00,0,0
E 16 St & 5 Ave,04-08-2023 03:10,0,0
E 16 St & 5 Ave,04-08-2023 03:20,0,0
E 16 St & 5 Ave,04-08-2023 03:30,0,0
E 16 St & 5 Ave,04-08-2023 03:40,0,0
E 16 St & 5 Ave,04-08-2023 03:50,0,0
E 16 St & 5 Ave,04-08-2023 04:00,0,0
E 16 St & 5 Ave,04-08-2023 04:10,0,0
E 16 St & 5 Ave,04-08-2023 04:20,0,0
E 16 St & 5 Ave,04-08-2023 04:30,0,0
E 16 St & 5 Ave,04-08-2023 04:40,0,0
E 16 St & 5 Ave,04-08-2023 04:50,0,0
E 16 St & 5 Ave,04-08-2023 05:00,0,0
E 16 St & 5 Ave,04-08-2023 05:10,0,0
E 16 St & 5 Ave,04-08-2023 05:20,0,0
E 16 St & 5 Ave,04-08-2023 05:30,0,0
E 16 St & 5 Ave,04-08-2023 05:40,1,0
E 16 St & 5 Ave,04-08-2023 05:50,0,0
E 16 St & 5 Ave,04-08-2023 06:00,0,0
E 16 St & 5 Ave,04-08-2023 06:10,0,0
E 16 St & 5 Ave,04-08-2023 06:20,1,1
E 16 St & 5 Ave,04-08-2023 06:30,1,0
E 16 St & 5 Ave,04-08-2023 06:40,1,0
E 16 St & 5 Ave,04-08-2023 06:50,2,2
E 16 St & 5 Ave,04-08-2023 07:00,1,0
E 16 St & 5 Ave,04-08-2023 07:10,2,0
E 16 St & 5 Ave,04-08-2023 07:20,0,1
E 16 St & 5 Ave,04-08-2023 07:30,3,1
E 16 St & 5 Ave,04-08-2023 07:40,1,1
E 16 St & 5 Ave,04-08-2023 07:50,0,2
E 16 St & 5 Ave,04-08-2023 08:00,1,1
E 16 St & 5 Ave,04-08-2023 08:10,1,2
E 16 St & 5 Ave,04-08-2023 08:20,1,2
E 16 St & 5 Ave,04-08-2023 08:30,0,1
E 16 St & 5 Ave,04-08-2023 08:40,2,1
E 16 St & 5 Ave,04-08-2023 08:50,1,5
E 16 St & 5 Ave,04-08-2023 09:00,3,4
E 16 St & 5 Ave,04-08-2023 09:10,1,4
E 16 St & 5 Ave,04-08-2023 09:20,4,4
E 16 St & 5 Ave,04-08-2023 09:30,1,4
E 16 St & 5 Ave,04-08-2023 09:40,1,4
E 16 St & 5 Ave,04-08-2023 09:50,1,4
E 16 St & 5 Ave,04-08-2023 10:00,1,3
E 16 St & 5 Ave,04-08-2023 10:10,2,3
E 16 St & 5 Ave,04-08-2023 10:20,2,3
